iter	RMSE
0	0.06366845428
1	0.06160474199
2	0.05956592184
3	0.05774589968
4	0.05589549007
5	0.05413179254
6	0.05251485547
7	0.05084140817
8	0.0493306126
9	0.04789599716
10	0.04642563525
11	0.04498599729
12	0.04361591511
13	0.04217605253
14	0.04086091159
15	0.03962972147
16	0.03835229118
17	0.03722343075
18	0.0360901855
19	0.03493977285
20	0.03374509711
21	0.03273521452
22	0.03182164403
23	0.03074550472
24	0.02974778849
25	0.02880888205
26	0.02797808832
27	0.02704211439
28	0.02613637903
29	0.02530064559
30	0.02450018453
31	0.02377210553
32	0.02313182911
33	0.02242699609
34	0.0217131258
35	0.02107818723
36	0.02044211128
37	0.01983049441
38	0.01923542981
39	0.01866227005
40	0.0181245188
41	0.01756023611
42	0.01706960897
43	0.01657169759
44	0.01610685773
45	0.01564096921
46	0.01515017272
47	0.01473630005
48	0.01428283517
49	0.01387848709
50	0.01346928823
51	0.01307922871
52	0.01269384422
53	0.01236285491
54	0.01200027952
55	0.01168543773
56	0.01136779497
57	0.01106585168
58	0.01074054312
59	0.01042072875
60	0.01013788743
61	0.009847744571
62	0.009567547028
63	0.009310301895
64	0.009030238659
65	0.008809941401
66	0.008583196585
67	0.008371821244
68	0.008161706995
69	0.007933744053
70	0.007726903488
71	0.007545571006
72	0.007367507681
73	0.007174504028
74	0.007010942454
75	0.006851930956
76	0.006677055841
77	0.006509999654
78	0.006366879474
79	0.006223430849
80	0.006073009027
81	0.005937683886
82	0.005801053676
83	0.005656178121
84	0.005528361561
85	0.005406324431
86	0.00528362634
87	0.00517713558
88	0.005068620496
89	0.004967317916
90	0.004864237676
91	0.004775700278
92	0.00470159138
93	0.004609041864
94	0.004527184347
95	0.004450063748
96	0.004380564133
97	0.004305544018
98	0.004236292109
99	0.004167601084
100	0.004087995901
101	0.004015061757
102	0.003956029358
103	0.003893757765
104	0.003831492903
105	0.003772373469
106	0.003715132534
107	0.003657196836
108	0.003601398192
109	0.003546498608
110	0.00350162969
111	0.003464743173
112	0.003422885412
113	0.003379360126
114	0.003335666124
115	0.003302878976
116	0.003263017964
117	0.003220216926
118	0.003175653438
119	0.003131243005
120	0.00308872008
121	0.003047942387
122	0.003015867567
123	0.002983996287
124	0.002946815576
125	0.002918366422
126	0.002881200056
127	0.00285485246
128	0.002829873751
129	0.002806765128
130	0.002775982148
131	0.00274591575
132	0.002725848589
133	0.002701149772
134	0.002681827578
135	0.002664323696
136	0.002645293873
137	0.002617015354
138	0.002601287965
139	0.002583352452
140	0.002562653938
141	0.002547150595
142	0.002527896816
143	0.002507659689
144	0.002491659694
145	0.002479930429
146	0.002456732442
147	0.002435043173
148	0.002413507824
149	0.00239877083
150	0.002381764911
151	0.002371758557
152	0.00236413423
153	0.002344966069
154	0.002329278089
155	0.002312785238
156	0.002298175744
157	0.002291620586
158	0.002277732524
159	0.0022616553
160	0.002247907629
161	0.002242670772
162	0.002228387616
163	0.0022223164	0.164	0.002204062272
165	0.002194205984
166	0.00218199851
167	0.002163265757
168	0.002157692191
169	0.00214527170	0170	0.002132609158
171	0.002118752689
172	0.002108018209
173	0.002097029835
174	0.002085643154
175	0.00207771248
176	0.002066552147
177	0.00205302989
178	0.002043174359
179	0.00203920180	0180	0.00202906181	0181	0.00201965182	0182	0.00200704183	0183	0.00199708184	0184	0.00198834185	0185	0.001979060086
186	0.00197023187	0187	0.00195271188	0188	0.00194429189	0189	0.00194164190	0.001423090253
191	0.001416139057
192	0.001408815978
193	0.001403336397
194	0.001395017717
195	0.001385140214
196	0.001378066534
197	0.001370088306
198	0.001363367599
199	0.001357445579
200	0.001349531825
201	0.001342585613
202	0.001335691372
203	0.001332833253
204	0.001330803957
205	0.001325492111
206	0.001324396189
207	0.001319406174
208	0.001313066469
209	0.001311537675
210	0.00130505311
211	0.001303538302
212	0.001298299713
213	0.001296828787
214	0.001295407918
215	0.001289419414
216	0.001287389022
217	0.001284885973
218	0.001283387738
219	0.001281875396
220	0.00128109553
221	0.001275936583
222	0.001274513837
223	0.001266285446
224	0.001261548484
225	0.001256880195
226	0.001255677524
227	0.001249552654
228	0.00124383086
229	0.001242491241
230	0.001238650575
231	0.001233014661
232	0.001226235984
233	0.001225183045
234	0.001220904711
235	0.001215882
236	0.001210363332
237	0.001206429998
238	0.001205441369
239	0.001201555295
240	0.001197343922
241	0.00119302881
242	0.001192128447
243	0.001187772415
244	0.001181098608
245	0.001178243902
246	0.001174290502
247	0.001171624708
248	0.001169179126
249	0.001165806708
250	0.001163470211
251	0.001161324674
252	0.001157946127
253	0.001153050992
254	0.001150864185
255	0.001146316256
256	0.001142924133
257	0.001140838494
258	0.001138926416
259	0.001133392555
260	0.001129357055
261	0.001125631821
262	0.001122490431
263	0.001120540714
264	0.00111704284
265	0.001114250014
266	0.001110010764
267	0.001105757441
268	0.00110269442
269	0.001099374839
270	0.001095782617
271	0.001093049803
272	0.001090057106
273	0.001087466058
274	0.001083682025
275	0.001079745116
276	0.001076590295
277	0.001074498254
278	0.00107251761
279	0.001069466579
280	0.001066019014
281	0.001062479854
282	0.001058175621
283	0.001054506733
284	0.001050565179
285	0.001047745626
286	0.001043314742
287	0.00104008088
288	0.001036917101
289	0.001035320628
290	0.001032500847
291	0.001029869565
292	0.001025837994
293	0.00102306523
294	0.001019000857
295	0.001017581578
296	0.001014863395
297	0.001011801601
298	0.001008709711
299	0.001005735941
300	0.001003356293
301	0.001001433656
302	0.0009999739371
303	0.0009963969722
304	0.0009931584241
305	0.0009897264782
306	0.0009882917363
307	0.0009842533253
308	0.0009807383236
309	0.0009779476287
310	0.0009738564272
311	0.0009723837444
312	0.0009710734864
313	0.0009681473839
314	0.0009648326878
315	0.0009635631238
316	0.0009623560947
317	0.0009601464665
318	0.0009570086796
319	0.0009550844743
320	0.0009538747419
321	0.0009517972799
322	0.0009493968538
323	0.0009467050528
324	0.0009455616026
325	0.0009444497764
326	0.0009413158722
327	0.0009393462146
328	0.0009386478532
329	0.0009359463041
330	0.000933450886
331	0.0009314462432
332	0.0009286739117
333	0.0009265148339
334	0.000925490729
335	0.0009218839168
336	0.0009209264534
337	0.0009185910693
338	0.0009167866609
339	0.0009158214334
340	0.0009148869508
341	0.0009126526919
342	0.0009120604501
343	0.0009111699912
344	0.0009084371963
345	0.0009057638939
346	0.000903568424
347	0.0009009893924
348	0.0009001403187
349	0.0008995628324
350	0.0008987358378
351	0.0008979374681
352	0.0008955791365
353	0.0008924452296
354	0.0008901893193
355	0.0008877254125
356	0.0008869285881
357	0.0008861861496
358	0.0008827197365
359	0.0008819771324
360	0.0008803239224
361	0.0008781146388
362	0.0008764175681
363	0.0008744440817
364	0.000872585637
365	0.0008702817563
366	0.000868191574
367	0.0008660126178
368	0.0008640117213
369	0.0008603620296
370	0.0008572346396
371	0.0008548937898
372	0.0008526160629
373	0.0008515316358
374	0.0008492820235
375	0.0008474570942
376	0.0008457870681
377	0.0008430992945
378	0.000840974756
379	0.0008390716896
380	0.0008366234729
381	0.0008345804392
382	0.0008325181045
383	0.0008314210222
384	0.0008295905332
385	0.0008279263968
386	0.00082721682
387	0.0008254617398
388	0.00082301323
389	0.0008215987866
390	0.0008211418679
391	0.0008192675974
392	0.0008159840386
393	0.0008151760179
394	0.0008132060845
395	0.0008109007264
396	0.0008084713662
397	0.0008068868674
398	0.0008054500698
399	0.0008028991781
400	0.0008015188521
401	0.0007997306743
402	0.000798492139
403	0.0007964939508
404	0.0007947217516
405	0.0007930144543
406	0.0007912720913
407	0.0007898594588
408	0.0007878379224
409	0.000785419746
410	0.0007847500999
411	0.0007841157171
412	0.0007818025915
413	0.0007809513794
414	0.0007792908295
415	0.0007785730196
416	0.0007770876893
417	0.0007767130805
418	0.0007760714511
419	0.0007740161844
420	0.0007720506046
421	0.0007714655687
422	0.0007700585879
423	0.0007686688753
424	0.0007661934503
425	0.0007637712953
426	0.0007618893592
427	0.0007600389376
428	0.0007585010152
429	0.0007578992036
430	0.0007562237544
431	0.0007547825772
432	0.0007529929753
433	0.0007513838132
434	0.0007503549684
435	0.0007496076009
436	0.0007485672053
437	0.0007476694843
438	0.00074586888
439	0.000745074684
440	0.0007437806159
441	0.0007427007514
442	0.0007410555962
443	0.0007388987016
444	0.0007378241843
445	0.0007366406807
446	0.0007355407834
447	0.0007335624074
448	0.0007321041695
449	0.000731541715
450	0.0007289026297
451	0.0007273606612
452	0.0007258336997
453	0.0007240997864
454	0.0007229180419
455	0.0007220372331
456	0.0007209917522
457	0.0007206400663
458	0.0007193733877
459	0.0007178799583
460	0.0007172898596
461	0.0007157985047
462	0.0007140540347
463	0.0007133795396
464	0.0007113407086
465	0.0007102423291
466	0.000708165279
467	0.0007067656936
468	0.0007062578423
469	0.0007056371767
470	0.0007044230584
471	0.0007029726812
472	0.0007018250141
473	0.000701054944
474	0.0006986991996
475	0.0006970112717
476	0.0006957708103
477	0.0006941324834
478	0.0006925126177
479	0.0006906710053
480	0.0006902277954
481	0.0006899846311
482	0.0006881897412
483	0.0006877612494
484	0.0006865139747
485	0.0006853006106
486	0.0006838550376
487	0.0006829518538
488	0.0006812034949
489	0.0006799919126
490	0.0006789252784
491	0.0006779402141
492	0.0006765291273
493	0.0006754964093
494	0.0006737955198
495	0.000672588056
496	0.000671410449
497	0.0006701191249
498	0.0006691711477
499	0.0006684641934
500	0.0006662943931
501	0.000665987595
502	0.0006650323576
503	0.0006640954704
504	0.0006637665443
505	0.0006621926772
506	0.0006610513062
507	0.0006597950703
508	0.0006593554581
509	0.0006581631294
510	0.0006567206905
511	0.0006561755315
512	0.0006549544129
513	0.0006534283498
514	0.000651691413
515	0.0006504886687
516	0.0006502105374
517	0.0006495180119
518	0.0006491139768
519	0.0006468610423
520	0.0006455386841
521	0.0006440099118
522	0.0006429396533
523	0.0006418138981
524	0.0006405034952
525	0.0006391422587
526	0.0006375205801
527	0.0006370886593
528	0.0006367474841
529	0.0006355330593
530	0.0006351355513
531	0.0006345028568
532	0.000633527417
533	0.000632019865
534	0.0006317548629
535	0.0006309208983
536	0.0006306053367
537	0.0006293707206
538	0.0006277543678
539	0.0006268362075
540	0.000625963613
541	0.0006251865247
542	0.0006239969883
543	0.0006224213149
544	0.0006213080014
545	0.0006200656809
546	0.0006188530858
547	0.0006175192334
548	0.0006167701331
549	0.0006159834334
550	0.0006154074141
551	0.000614335039
552	0.0006138635625
